,Clouds,Humidity,Latitude,Temperature,Wind_Speed
247,0,57,14.53,59.94,4.27
248,92,94,66.83,30.37,22.28
249,0,68,68.75,-14.77,1.92
250,0,47,39.73,30.82,2.71
251,8,95,-3.66,86.44,9.08
252,68,88,7.67,81.54,3.38
253,48,100,56.66,50.0,5.82
254,80,97,5.38,80.37,9.64
255,75,79,5.28,86.0,3.36
256,20,66,43.32,48.2,8.05
257,75,77,-34.6,66.2,18.34
258,40,74,-21.21,82.4,8.05
259,56,68,56.36,2.65,2.71
260,0,62,-45.41,61.69,3.38
261,56,100,2.04,79.2,6.85
262,0,65,42.89,32.71,3.38
263,0,59,65.73,-12.11,5.73
264,0,80,-22.21,60.52,9.31
265,75,88,5.33,80.6,2.24
266,8,69,25.05,73.17,7.4
267,0,86,8.9,47.25,2.37
268,5,78,22.89,74.23,1.7
269,24,87,-7.01,67.5,4.38
270,20,93,-36.72,55.4,4.7
271,92,93,59.27,47.26,6.93
272,0,100,65.42,17.86,7.18
273,75,100,48.95,51.01,8.05
274,88,88,52.63,16.96,10.98
275,80,86,-18.36,70.51,4.27
276,48,100,7.71,80.82,9.75
277,90,78,55.1,14.0,6.93
278,56,97,5.68,75.42,2.93
279,1,64,21.39,80.2,12.75
280,0,46,-29.67,47.97,1.59
281,0,46,20.31,70.33,4.5
282,5,44,28.39,39.2,20.8
283,44,56,34.16,-1.94,1.7
284,20,94,-9.67,73.4,3.36
285,90,69,59.58,35.6,8.95
286,36,67,9.67,61.15,3.71
287,75,97,30.44,68.97,7.96
288,36,30,18.74,58.36,3.71
289,44,81,0.7,85.59,3.27
290,90,100,45.6,50.79,6.93
291,88,98,-15.1,68.98,4.16
292,92,99,59.1,41.98,12.77
293,80,94,50.68,41.98,13.0
294,90,93,41.96,48.2,2.24
295,92,87,60.4,50.0,11.41
296,20,96,-23.78,73.44,14.34
297,92,96,4.12,70.02,5.06
298,100,92,-3.68,73.39,4.94
299,0,55,36.39,66.2,14.99
300,20,62,78.22,21.2,6.93
